County,Year,Month,Date,Registrations,Total_Registrations
Leitrim,2015,Apr,2015-04-01,1,2
Leitrim,2015,May,2015-05-01,0,2
Leitrim,2015,Jun,2015-06-01,0,2
Leitrim,2015,Jul,2015-07-01,1,3
Leitrim,2015,Aug,2015-08-01,0,3
Leitrim,2015,Sep,2015-09-01,0,3
Leitrim,2015,Oct,2015-10-01,0,3
Leitrim,2015,Nov,2015-11-01,0,3
Leitrim,2015,Dec,2015-12-01,0,3
Leitrim,2016,Jan,2016-01-01,0,3
Leitrim,2016,Feb,2016-02-01,0,3
Leitrim,2016,Mar,2016-03-01,0,3
Leitrim,2016,Apr,2016-04-01,0,3
Leitrim,2016,May,2016-05-01,0,3
Leitrim,2016,Jun,2016-06-01,0,3
Leitrim,2016,Jul,2016-07-01,1,4
Leitrim,2016,Aug,2016-08-01,0,4
Leitrim,2016,Sep,2016-09-01,0,4
Leitrim,2016,Oct,2016-10-01,1,5
Leitrim,2016,Nov,2016-11-01,0,5
Leitrim,2016,Dec,2016-12-01,0,5
Leitrim,2017,Jan,2017-01-01,0,5
Leitrim,2017,Feb,2017-02-01,0,5
Leitrim,2017,Mar,2017-03-01,0,5
Leitrim,2017,Apr,2017-04-01,2,7
Leitrim,2017,May,2017-05-01,0,7
Leitrim,2017,Jun,2017-06-01,0,7
Leitrim,2017,Jul,2017-07-01,0,7
Leitrim,2017,Aug,2017-08-01,0,7
Leitrim,2017,Sep,2017-09-01,0,7
Leitrim,2017,Oct,2017-10-01,1,8
Leitrim,2017,Nov,2017-11-01,0,8
Leitrim,2017,Dec,2017-12-01,0,8
Leitrim,2018,Jan,2018-01-01,0,8
Leitrim,2018,Feb,2018-02-01,0,8
Leitrim,2018,Mar,2018-03-01,0,8
Leitrim,2018,Apr,2018-04-01,0,8
Leitrim,2018,May,2018-05-01,0,8
Leitrim,2018,Jun,2018-06-01,0,8
Leitrim,2018,Jul,2018-07-01,2,10
Leitrim,2018,Aug,2018-08-01,0,10
Leitrim,2018,Sep,2018-09-01,0,10
Leitrim,2018,Oct,2018-10-01,0,10
Leitrim,2018,Nov,2018-11-01,0,10
Leitrim,2018,Dec,2018-12-01,0,10
Leitrim,2019,Jan,2019-01-01,6,16
Leitrim,2019,Feb,2019-02-01,0,16
Leitrim,2019,Mar,2019-03-01,1,17
Leitrim,2019,Apr,2019-04-01,3,20
Leitrim,2019,May,2019-05-01,1,21
Leitrim,2019,Jun,2019-06-01,0,21
Leitrim,2019,Jul,2019-07-01,0,21
Leitrim,2019,Aug,2019-08-01,2,23
Leitrim,2019,Sep,2019-09-01,1,24
Leitrim,2019,Oct,2019-10-01,0,24
Leitrim,2019,Nov,2019-11-01,0,24
Leitrim,2019,Dec,2019-12-01,0,24
Leitrim,2020,Jan,2020-01-01,3,27
Leitrim,2020,Feb,2020-02-01,0,27
Leitrim,2020,Mar,2020-03-01,1,28
Leitrim,2020,Apr,2020-04-01,0,28
